T,M,Time
1,1,6.590887
1,10,23.845744
1,20,38.420957
1,30,44.169313
1,40,49.766029
1,50,59.416316
1,100,60.643189
10,1,0.300027
10,10,2.683736
10,20,4.033948
10,30,5.035631
10,40,5.812571
10,50,6.490684
10,100,6.731645
20,1,0.299139
20,10,2.085759
20,20,2.742763
20,30,3.066373
20,40,3.511447
20,50,3.842982
20,100,4.001981
