T,M,Time
1,1,6.585945
1,10,23.816423
1,20,38.423393
1,30,44.129433
1,40,49.671177
1,50,59.334608
1,100,60.596459
10,1,0.213334
10,10,2.115633
10,20,4.409981
10,30,5.377192
10,40,6.385782
10,50,7.381735
10,100,7.609946
20,1,0.213461
20,10,1.425542
20,20,2.193213
20,30,3.005365
20,40,3.396409
20,50,3.977177
20,100,4.249765
