T,M,Time
1,1,0.009207
1,10,0.023056
1,20,0.058213
1,30,0.030696
1,40,0.052696
1,50,0.043990
1,100,0.663815
10,1,0.009658
10,10,1.734458
10,20,2.401842
10,30,1.957850
10,40,3.127739
10,50,2.090550
10,100,3.322254
20,1,0.006266
20,10,2.883805
20,20,1.828720
20,30,1.993393
20,40,2.173860
20,50,2.495066
20,100,0.932626
